,date,cash_data,vol,dif,ret1,ret2,ret3
9/20/2021 5:30,9/20/2021 5:30,34214.34,3119,-184.86,48.01764305,1.705225443,1.669712966
9/20/2021 6:00,9/20/2021 6:00,34200.2,2344,-14.14,-0.076712623,-3.683559339,-51.70120239
9/20/2021 6:30,9/20/2021 6:30,34291.2,2344,91,6.428425275,-0.493141363,-0.41642874
9/20/2021 7:00,9/20/2021 7:00,34224.34,1694,-66.86,0.734466211,4.721461153,-1.706964122
9/20/2021 7:30,9/20/2021 7:30,34279.34,1694,55,0.822756753,0.604287034,-0.130179176
9/20/2021 8:00,9/20/2021 8:00,34246.34,2612,-33,0.599807289,0.493495497,-0.329261255
9/20/2021 8:30,9/20/2021 8:30,34296.34,2612,50,1.514775878,0.908573613,0.308766324
9/20/2021 9:00,9/20/2021 9:00,34302.34,5094,6,-0.119902018,-0.181624685,-1.696400562
9/20/2021 9:30,9/20/2021 9:30,34096.34,5094,-206,34.43382916,-4.128685603,-4.008783585
9/20/2021 10:00,9/20/2021 10:00,34197.2,7176,100.86,0.490364297,16.88512041,-17.54870875
9/20/2021 10:30,9/20/2021 10:30,34107.2,7176,-90,0.892183989,0.437495174,-0.052869122
9/20/2021 11:00,9/20/2021 11:00,34169.2,5205,62,0.689171191,0.614867503,-0.277316487
9/20/2021 11:30,9/20/2021 11:30,34076.2,5205,-93,1.500681881,1.03422672,0.345055528
9/20/2021 12:00,9/20/2021 12:00,34111.2,4477,35,0.376664003,0.565252845,-0.935429036
9/20/2021 12:30,9/20/2021 12:30,34002.2,4477,-109,3.117671535,1.174314641,0.797650638
9/20/2021 13:00,9/20/2021 13:00,34086.2,2880,84,0.770924891,2.403490589,-0.714180946
9/20/2021 13:30,9/20/2021 13:30,34017.2,2880,-69,0.821247513,0.63312015,-0.137804741
9/20/2021 14:00,9/20/2021 14:00,34069.2,4004,52,0.753811244,0.61906561,-0.202181904
9/20/2021 14:30,9/20/2021 14:30,33946.2,4004,-123,2.367855917,1.784916414,1.03110517
9/20/2021 15:00,9/20/2021 15:00,33983.2,5048,37,0.301193545,0.713182918,-1.654672999
9/20/2021 15:30,9/20/2021 15:30,33893.7,5048,-89.5,2.420791017,0.729126628,0.427933083
9/20/2021 16:00,9/20/2021 16:00,33923.34,9815,29.64,0.33146533,0.802408293,-1.618382725
9/20/2021 16:30,9/20/2021 16:30,34225.2,9815,301.86,-10.13473635,-3.359313726,-3.690779056
