,date,cash_data,vol,dif,ret1,ret2,ret3
10/14/2021 5:30,10/14/2021 5:30,1786.51,2999,-3.5,3.400405996,0.731961532,0.516704432
10/14/2021 6:00,10/14/2021 6:00,1787.52,2443,1.01,0.28877239,0.981943365,-2.418462631
10/14/2021 6:30,10/14/2021 6:30,1789.8,2443,2.28,-2.255349872,-0.651282772,-0.940055162
10/14/2021 7:00,10/14/2021 7:00,1788.2,1155,-1.6,0.701620969,-1.582400763,0.672949109
10/14/2021 7:30,10/14/2021 7:30,1790.81,1155,2.61,1.63078984,1.144196348,0.442575379
10/14/2021 8:00,10/14/2021 8:00,1789.74,2585,-1.07,0.4097853,0.668273704,-0.962516136
10/14/2021 8:30,10/14/2021 8:30,1791.74,2585,2,1.868673654,0.765754994,0.355969694
10/14/2021 9:00,10/14/2021 9:00,1790.73,3941,-1.01,0.504860406,0.94341934,-0.925254314
10/14/2021 9:30,10/14/2021 9:30,1794.17,3941,3.44,3.403632855,1.718359466,1.21349906
10/14/2021 10:00,10/14/2021 10:00,1794.95,3052,0.78,-0.22647752,-0.770846327,-4.174479182
10/14/2021 10:30,10/14/2021 10:30,1790.67,3052,-4.28,5.492538162,-1.24393642,-1.017458901
10/14/2021 11:00,10/14/2021 11:00,1793.68,3427,3.01,0.703520041,3.864110673,-1.62842749
10/14/2021 11:30,10/14/2021 11:30,1797.42,3427,3.74,-1.240189566,-0.872498214,-1.576018255
10/14/2021 12:00,10/14/2021 12:00,1795.27,2445,-2.15,0.574611755,-0.712627503,0.527562063
10/14/2021 12:30,10/14/2021 12:30,1798.47,2445,3.2,1.487937444,0.854986346,0.280374591
10/14/2021 13:00,10/14/2021 13:00,1796.8,2750,-1.67,0.521652811,0.77618675,-0.711750694
10/14/2021 13:30,10/14/2021 13:30,1800.02,2750,3.22,1.927313182,1.005388339,0.483735528
10/14/2021 14:00,10/14/2021 14:00,1800.42,2950,0.4,-0.124098671,-0.239177005,-2.166490187
10/14/2021 14:30,10/14/2021 14:30,1795.47,2950,-4.95,12.39066628,-1.537665222,-1.413566551
10/14/2021 15:00,10/14/2021 15:00,1793.73,7078,-1.74,-0.352170155,-4.363622858,-16.75428914
10/14/2021 15:30,10/14/2021 15:30,1799.53,7078,5.8,3.329569654,-1.17257506,-0.820404905
10/14/2021 16:00,10/14/2021 16:00,1799.44,7198,-0.09,0.015492609,0.05158372,-3.277985933
10/14/2021 16:30,10/14/2021 16:30,1793.85,7198,-5.59,-62.20934181,-0.963784997,-0.979277606
10/14/2021 17:00,10/14/2021 17:00,1799.3,3968,5.45,0.974993226,-60.65368684,1.555654974
10/14/2021 17:30,10/14/2021 17:30,1794.58,3968,-4.72,0.865878964,0.844226124,-0.130767102
10/14/2021 18:00,10/14/2021 18:00,1796.07,2670,1.49,0.315961773,0.273584653,-0.592294311
10/14/2021 18:30,10/14/2021 18:30,1798.79,2670,2.72,-1.823365722,-0.576113867,-0.89207564
10/14/2021 19:00,10/14/2021 19:00,1798.93,2788,0.14,-0.051429662,0.093775083,1.917140805
10/14/2021 19:30,10/14/2021 19:30,1795.94,2788,-2.99,21.37407964,-1.099261692,-1.04783203
10/14/2021 20:00,10/14/2021 20:00,1795.67,2408,-0.27,-0.090382946,-1.931852292,-23.30593193
10/14/2021 20:30,10/14/2021 20:30,1797.05,2408,1.38,5.109532234,-0.461814577,-0.371431631
10/14/2021 21:00,10/14/2021 21:00,1796.14,1842,-0.91,0.659334017,3.368888414,-1.740643819
10/14/2021 21:30,10/14/2021 21:30,1798.9,1842,2.76,3.031406805,1.998709627,1.33937561
10/14/2021 22:00,10/14/2021 22:00,1799.14,2786,0.24,-0.086884002,-0.263380754,-3.294787559
