,date,cash_data,vol,ret1
260,1/22/2020 20:00,8648.56,6389.528,0.532647339
261,1/22/2020 22:00,8688.85,6389.528,0.560372083
262,1/23/2020 0:00,8694,17353.279,-0.127488916
263,1/23/2020 2:00,8570,17353.279,24.24384324
264,1/23/2020 4:00,8614.41,24180.861,0.359798533
265,1/23/2020 6:00,8504,24180.861,2.495766173
266,1/23/2020 8:00,8625,39141.194,1.095240706
267,1/23/2020 10:00,8404.68,39141.194,1.831517542
268,1/23/2020 12:00,8508,40728.507,0.472177948
269,1/23/2020 14:00,8334.72,40728.507,1.68412439
270,1/23/2020 16:00,8326,22188.352,-0.050871111
271,1/23/2020 18:00,8390,22188.352,7.315212975
272,1/23/2020 20:00,8354,18700.622,0.561557486
273,1/23/2020 22:00,8452.27,18700.622,2.719634956
274,1/24/2020 0:00,8424.97,18074.952,0.276634939
275,1/24/2020 2:00,8283.4,18074.952,-5.238246624
276,1/24/2020 4:00,8305.61,14039.719,0.15800863
277,1/24/2020 6:00,8361.96,14039.719,-2.525195102
278,1/24/2020 8:00,8247,35097.157,2.047330537
279,1/24/2020 10:00,8422.59,35097.157,1.521877416
280,1/24/2020 12:00,8371.2,35867.428,0.290496117
281,1/24/2020 14:00,8520,35867.428,2.878872337
282,1/24/2020 16:00,8528,19626.291,-0.053267574
283,1/24/2020 18:00,8450,19626.291,9.790267242
284,1/24/2020 20:00,8522,20505.939,0.923402295
285,1/24/2020 22:00,8418,20505.939,1.44718253
286,1/25/2020 0:00,8455,27106.072,0.357178019
287,1/25/2020 2:00,8272,27106.072,4.989307226
288,1/25/2020 4:00,8284.03,14139.242,0.066413924
289,1/25/2020 6:00,8358.44,14139.242,-6.153283385
290,1/25/2020 8:00,8310,14412.259,0.649971008
291,1/25/2020 10:00,8390,14412.259,1.648414541
292,1/25/2020 12:00,8290.9,13043.066,1.2401735
293,1/25/2020 14:00,8362,13043.066,0.71865935
294,1/25/2020 16:00,8326,10532.01,0.505261862
295,1/25/2020 18:00,8378.79,10532.01,1.464917624
296,1/25/2020 20:00,8425,17181.663,-0.870197298
297,1/25/2020 22:00,8336.69,17181.663,1.915871076
298,1/26/2020 0:00,8300,12779.901,-0.418586669
299,1/26/2020 2:00,8384.59,12779.901,2.29892983
300,1/26/2020 4:00,8399,11982.845,-0.16934486
301,1/26/2020 6:00,8341.33,11982.845,4.012438868
302,1/26/2020 8:00,8386.39,27758.703,0.781929923
303,1/26/2020 10:00,8488,27758.703,-2.235414845
304,1/26/2020 12:00,8493.14,14242.005,-0.050266966
305,1/26/2020 14:00,8442,14242.005,9.976471421
306,1/26/2020 16:00,8454,33948.318,0.235192878
307,1/26/2020 18:00,8624.45,33948.318,-14.05288704
308,1/26/2020 20:00,8549,15351.708,0.440191361
309,1/26/2020 22:00,8615,15351.708,0.875231786
310,1/27/2020 0:00,8611,24100.524,0.06038763
311,1/27/2020 2:00,8700,24100.524,22.14094334
312,1/27/2020 4:00,8684,12454.817,0.17901883
313,1/27/2020 6:00,8628.09,12454.817,-3.50890095
314,1/27/2020 8:00,8565,30533.436,-1.13623206
315,1/27/2020 10:00,8764,30533.436,3.129609319
316,1/27/2020 12:00,8707,32729.759,0.284092629
317,1/27/2020 14:00,8794.13,32729.759,1.525972048
318,1/27/2020 16:00,8752,42610.164,0.482287204
319,1/27/2020 18:00,8989.37,42610.164,5.57254574
320,1/27/2020 20:00,9015.48,27669.851,-0.108380981
321,1/27/2020 22:00,8895.32,27669.851,4.626299898
322,1/28/2020 0:00,8913.61,37733.89,0.15308216
