date,CashData
1/15/2021 1:00,1856.81
1/15/2021 1:00,1823.24
1/18/2021 1:00,1803.25
1/18/2021 1:00,1840.79
1/19/2021 1:00,1845.51
1/19/2021 1:00,1833.02
1/20/2021 1:00,1832.42
1/20/2021 1:00,1872.02
1/21/2021 1:00,1875.05
1/21/2021 1:00,1858.28
1/22/2021 1:00,1870.69
1/22/2021 1:00,1837.3
1/25/2021 1:00,1867.83
1/25/2021 1:00,1847.11
1/26/2021 1:00,1861.7
1/26/2021 1:00,1848.38
1/27/2021 1:00,1853.09
1/27/2021 1:00,1831.31
1/28/2021 1:00,1834
1/28/2021 1:00,1864.05
1/29/2021 1:00,1839.51
1/29/2021 1:00,1875.55
2/1/2021 1:00,1849.01
2/1/2021 1:00,1871.76
2/2/2021 1:00,1864.07
2/2/2021 1:00,1829.48
2/3/2021 1:00,1844.89
2/3/2021 1:00,1829.62
2/4/2021 1:00,1834.72
2/4/2021 1:00,1784.92
2/5/2021 1:00,1792.03
2/5/2021 1:00,1814.92
2/8/2021 1:00,1807.75
2/8/2021 1:00,1839.06
2/9/2021 1:00,1828.84
2/9/2021 1:00,1848.51
2/10/2021 1:00,1834.01
2/10/2021 1:00,1855.32
2/11/2021 1:00,1847.48
2/11/2021 1:00,1821.09
2/12/2021 1:00,1810.43
2/12/2021 1:00,1830.7
2/15/2021 1:00,1826.98
2/15/2021 1:00,1816
2/16/2021 1:00,1826.41
2/16/2021 1:00,1789.42
2/17/2021 1:00,1795.07
2/17/2021 1:00,1769.47
2/18/2021 1:00,1789.56
2/18/2021 1:00,1768.34
2/19/2021 1:00,1760.62
2/19/2021 1:00,1791.53
2/22/2021 1:00,1780.67
2/22/2021 1:00,1812.58
2/23/2021 1:00,1815.99
2/23/2021 1:00,1795.56
2/24/2021 1:00,1813.78
2/24/2021 1:00,1783.25
2/25/2021 1:00,1805.5
2/25/2021 1:00,1765.35
2/26/2021 1:00,1775.76
2/26/2021 1:00,1717.17
3/1/2021 1:00,1759.72
3/1/2021 1:00,1719.48
3/2/2021 1:00,1707.24
3/2/2021 1:00,1738.99
3/3/2021 1:00,1740.47
3/3/2021 1:00,1702.01
3/4/2021 1:00,1723.17
3/4/2021 1:00,1690.51
3/5/2021 1:00,1687.32
3/5/2021 1:00,1707.6
3/8/2021 1:00,1714.17
3/8/2021 1:00,1676.71
3/9/2021 1:00,1680.05
3/9/2021 1:00,1720.53
3/10/2021 1:00,1708.46
3/10/2021 1:00,1726.69
3/11/2021 1:00,1739.81
3/11/2021 1:00,1719.21
3/12/2021 1:00,1699.15
3/12/2021 1:00,1729.28
3/15/2021 0:00,1721.56
3/15/2021 0:00,1734.51
3/16/2021 0:00,1726.15
3/16/2021 0:00,1741.03
3/17/2021 0:00,1724.31
3/17/2021 0:00,1751.57
3/18/2021 0:00,1755.44
3/18/2021 0:00,1719.2
3/19/2021 0:00,1728.35
3/19/2021 0:00,1746.8
3/22/2021 0:00,1747
3/22/2021 0:00,1727.15
3/23/2021 0:00,1742.45
3/23/2021 0:00,1724.44
3/24/2021 0:00,1723.63
3/24/2021 0:00,1738.39
3/25/2021 0:00,1745.4
3/25/2021 0:00,1721.64
3/26/2021 0:00,1721.51
3/26/2021 0:00,1736.67
3/29/2021 1:00,1733.05
3/29/2021 1:00,1705.69
3/30/2021 1:00,1714.32
3/30/2021 1:00,1678.29
3/31/2021 1:00,1677.72
3/31/2021 1:00,1715.19
4/1/2021 1:00,1705.62
4/1/2021 1:00,1730.44
4/5/2021 1:00,1721.22
4/5/2021 1:00,1733.5
4/6/2021 1:00,1727.11
4/6/2021 1:00,1745.35
4/7/2021 1:00,1744.21
4/7/2021 1:00,1730.46
4/8/2021 1:00,1732.98
4/8/2021 1:00,1758.65
4/9/2021 1:00,1757.21
4/9/2021 1:00,1730.83
4/12/2021 1:00,1744.88
4/12/2021 1:00,1727.31
4/13/2021 1:00,1723.64
4/13/2021 1:00,1748.82
4/14/2021 1:00,1749.33
4/14/2021 1:00,1732.51
4/15/2021 1:00,1734.1
4/15/2021 1:00,1769.81
4/16/2021 1:00,1759.72
4/16/2021 1:00,1783.77
4/19/2021 1:00,1789.92
4/19/2021 1:00,1766.53
4/20/2021 1:00,1763.57
4/20/2021 1:00,1780.35
4/21/2021 1:00,1776.03
4/21/2021 1:00,1797.51
4/22/2021 1:00,1797.76
4/22/2021 1:00,1777.15
4/23/2021 1:00,1795.85
4/23/2021 1:00,1770.34
4/26/2021 1:00,1783.4
4/26/2021 1:00,1768.67
